nsamples r_UCB r_GRD r_UVB
24 0.031825 0.00560833333333 0.0125416666667
30 0.0435 0.00384166666667 0.0303583333333
36 0.0296416666667 0.00289166666667 0.0168916666667
42 0.0268416666667 0.00235833333333 0.0114416666667
48 0.027575 0.00181666666667 0.008125
54 0.021125 0.001375 0.00634166666667
60 0.0224916666667 0.000991666666667 0.00529166666667
66 0.0192416666667 0.000933333333333 0.007925
72 0.017675 0.0008 0.0119583333333
78 0.016675 0.00065 0.00708333333333
84 0.015675 0.000466666666667 0.00509166666667
90 0.0140666666667 0.000591666666667 0.004275
