nsamples r_rnd r_ucb r_sve
8 0.037825 0.0458 0.0408583333333
10 0.0311416666667 0.03125 0.0215333333333
12 0.0256666666667 0.0275916666667 0.0121083333333
14 0.0219416666667 0.0254 0.008425
16 0.0174666666667 0.0232166666667 0.005
18 0.0157 0.015975 0.004
20 0.0132083333333 0.01435 0.01295
22 0.0104416666667 0.0127916666667 0.00444166666667
24 0.00980833333333 0.0119083333333 0.00361666666667
26 0.00825 0.0084 0.00189166666667
28 0.00740833333333 0.00751666666667 0.00146666666667
30 0.00630833333333 0.00735833333333 0.00604166666667
