nsamples r_rnd r_ucb r_sve
8 0.0510833333333 0.0489666666667 0.0491666666667
10 0.0451 0.0404 0.0432
12 0.0375333333333 0.0339333333333 0.0368333333333
14 0.0310333333333 0.029 0.0306
16 0.0253166666667 0.0245 0.0278
18 0.0229666666667 0.0217333333333 0.0232833333333
20 0.0184333333333 0.0182 0.0191
22 0.0165833333333 0.01535 0.0184166666667
24 0.0146666666667 0.014 0.0146833333333
26 0.01135 0.01145 0.0136666666667
28 0.01145 0.0105666666667 0.0125666666667
30 0.00971666666667 0.00978333333333 0.0102666666667
