nsamples r_UCB r_GRD r_UVB
8 0.0195666666667 0.118366666667 0.0143333333333
10 0.0242333333333 0.125333333333 0.0195666666667
12 0.0170333333333 0.1213 0.0157666666667
14 0.00946666666667 0.122366666667 0.0063
16 0.0111 0.122633333333 0.00833333333333
18 0.0081 0.122 0.00636666666667
20 0.00416666666667 0.123166666667 0.00313333333333
22 0.00513333333333 0.1219 0.00443333333333
24 0.00343333333333 0.1212 0.003
26 0.00206666666667 0.122266666667 0.00156666666667
28 0.0013 0.1183 0.000766666666667
30 0.00116666666667 0.121633333333 0.0016
