nsamples r_rnd r_ucb r_sve
8 0.0378333333333 0.0469583333333 0.0338583333333
10 0.0309916666667 0.0272333333333 0.0196666666667
12 0.026175 0.0123 0.0110333333333
14 0.021675 0.0224416666667 0.00681666666667
16 0.0183333333333 0.0225583333333 0.0045
18 0.0160666666667 0.00815 0.003425
20 0.0132916666667 0.00659166666667 0.012225
22 0.0112333333333 0.0110166666667 0.00425
24 0.00975833333333 0.0117083333333 0.00314166666667
26 0.00845 0.00448333333333 0.00200833333333
28 0.007275 0.00361666666667 0.00135
30 0.006075 0.00568333333333 0.00605833333333
