nsamples r_UCB r_GRD r_UVB
8 0.0113666666667 0.00336666666667 0.0149
10 0.0189666666667 0.00153333333333 0.0198666666667
12 0.0138666666667 0.0012 0.015
14 0.00423333333333 0.000666666666667 0.00673333333333
16 0.00746666666667 0.000266666666667 0.00803333333333
18 0.0064 0.0002 0.0069
20 0.0018 0.0002 0.0029
22 0.0033 6.66666666667e-05 0.00416666666667
24 0.0029 0.0 0.00266666666667
26 0.00103333333333 0.0001 0.00143333333333
28 0.00136666666667 3.33333333333e-05 0.00326666666667
30 0.001 0.0 0.0011
