nsamples r_rnd r_ucb r_sve
24 0.0719444444444 0.0306111111111 0.0319444444444
30 0.0646388888889 0.0402777777778 0.02175
36 0.0566666666667 0.0298055555556 0.019
42 0.0474722222222 0.0253611111111 0.0138611111111
48 0.0455555555556 0.02875 0.0230277777778
54 0.0400277777778 0.0212777777778 0.0145277777778
60 0.0374166666667 0.02075 0.0118611111111
66 0.0363333333333 0.0198333333333 0.0103611111111
72 0.0314166666667 0.0166111111111 0.0151666666667
78 0.0291666666667 0.0170277777778 0.0126666666667
84 0.0274444444444 0.0161111111111 0.0104166666667
90 0.0277222222222 0.0148055555556 0.00794444444444
