nsamples r_rnd r_ucb r_sve
8 0.0383333333333 0.0450833333333 0.0385
10 0.0305 0.0321666666667 0.02175
12 0.0239166666667 0.0278333333333 0.0103333333333
14 0.0205833333333 0.0233333333333 0.00816666666667
16 0.0174166666667 0.02425 0.00558333333333
18 0.0160833333333 0.01675 0.00325
20 0.0128333333333 0.0149166666667 0.0114166666667
22 0.0109166666667 0.0149166666667 0.00458333333333
24 0.00925 0.0115 0.00358333333333
26 0.00883333333333 0.00708333333333 0.002
28 0.00658333333333 0.00825 0.00141666666667
30 0.00716666666667 0.00725 0.00658333333333
