nsamples r_rnd r_ucb r_sve
8 0.0532222222222 0.05 0.0532222222222
10 0.0428888888889 0.0391111111111 0.0412222222222
12 0.0365555555556 0.0343333333333 0.0364444444444
14 0.0331111111111 0.0313333333333 0.0291111111111
16 0.0251111111111 0.0258888888889 0.0258888888889
18 0.0215555555556 0.0226666666667 0.0227777777778
20 0.0185555555556 0.0178888888889 0.0181111111111
22 0.0146666666667 0.0156666666667 0.0168888888889
24 0.0151111111111 0.0124444444444 0.0146666666667
26 0.0113333333333 0.0132222222222 0.0131111111111
28 0.0108888888889 0.0103333333333 0.00977777777778
30 0.00922222222222 0.0103333333333 0.0101111111111
