nsamples r_rnd r_ucb r_sve
8 0.0262222222222 0.0194444444444 0.00966666666667
10 0.0192222222222 0.0246666666667 0.00422222222222
12 0.0146666666667 0.0158888888889 0.00955555555556
14 0.014 0.00966666666667 0.00166666666667
16 0.007 0.0104444444444 0.00211111111111
18 0.00788888888889 0.00755555555556 0.001
20 0.00611111111111 0.00388888888889 0.00333333333333
22 0.00333333333333 0.00488888888889 0.00133333333333
24 0.00366666666667 0.00422222222222 0.000777777777778
26 0.00222222222222 0.00233333333333 0.000333333333333
28 0.00155555555556 0.00133333333333 0.000666666666667
30 0.00133333333333 0.00177777777778 0.000222222222222
