nsamples r_rnd r_ucb r_sve
8 0.0393333333333 0.0474166666667 0.0318333333333
10 0.0306666666667 0.0296666666667 0.0190833333333
12 0.02575 0.0125833333333 0.01225
14 0.0220833333333 0.0239166666667 0.00608333333333
16 0.0205 0.021 0.00516666666667
18 0.0148333333333 0.00725 0.00333333333333
20 0.0145 0.00566666666667 0.0118333333333
22 0.0111666666667 0.0118333333333 0.0045
24 0.0104166666667 0.0123333333333 0.0045
26 0.00766666666667 0.00341666666667 0.00191666666667
28 0.00741666666667 0.00383333333333 0.00225
30 0.00625 0.00558333333333 0.0065
