nsamples r_rnd r_ucb r_sve
8 0.0226666666667 0.00988888888889 0.00966666666667
10 0.0188888888889 0.0202222222222 0.004
12 0.0142222222222 0.0158888888889 0.00833333333333
14 0.0108888888889 0.00566666666667 0.00322222222222
16 0.009 0.00777777777778 0.002
18 0.00655555555556 0.007 0.00133333333333
20 0.00522222222222 0.002 0.00177777777778
22 0.00444444444444 0.00377777777778 0.00144444444444
24 0.004 0.00255555555556 0.000777777777778
26 0.00344444444444 0.000666666666667 0.00333333333333
28 0.00211111111111 0.00122222222222 0.000444444444444
30 0.00155555555556 0.00133333333333 0.000333333333333
