nsamples r_rnd r_ucb r_sve
24 0.0718888888889 0.0343888888889 0.0344722222222
30 0.0639444444444 0.0433333333333 0.036
36 0.0558333333333 0.0276111111111 0.0255
42 0.0501388888889 0.0262777777778 0.032
48 0.0441388888889 0.0268888888889 0.0267222222222
54 0.0382777777778 0.0206666666667 0.0245277777778
60 0.0400277777778 0.022 0.0203055555556
66 0.0364444444444 0.0191388888889 0.0241388888889
72 0.0315277777778 0.0178333333333 0.0203055555556
78 0.0319444444444 0.0164166666667 0.0205
84 0.0281388888889 0.0142777777778 0.01775
90 0.0261388888889 0.0151111111111 0.0199444444444
