nsamples r_rnd r_ucb r_sve
8 0.0353333333333 0.0493333333333 0.029
10 0.0319166666667 0.0296666666667 0.015
12 0.0253333333333 0.0253333333333 0.0135
14 0.0199166666667 0.0283333333333 0.0209166666667
16 0.01925 0.0245 0.0108333333333
18 0.0140833333333 0.01475 0.00791666666667
20 0.0125833333333 0.0130833333333 0.00616666666667
22 0.01225 0.0145833333333 0.0100833333333
24 0.00958333333333 0.0120833333333 0.00725
26 0.008 0.009 0.0045
28 0.00808333333333 0.00716666666667 0.00441666666667
30 0.00516666666667 0.00766666666667 0.0035
