nsamples r_rnd r_ucb r_sve
8 0.0468888888889 0.0493333333333 0.0462222222222
10 0.0421111111111 0.0402222222222 0.0417777777778
12 0.042 0.0373333333333 0.0377777777778
14 0.0304444444444 0.0311111111111 0.0308888888889
16 0.026 0.0261111111111 0.0312222222222
18 0.0237777777778 0.0216666666667 0.0251111111111
20 0.0202222222222 0.0194444444444 0.0225555555556
22 0.0164444444444 0.0166666666667 0.0231111111111
24 0.016 0.0127777777778 0.0186666666667
26 0.0115555555556 0.0122222222222 0.0146666666667
28 0.0123333333333 0.0105555555556 0.0133333333333
30 0.0113333333333 0.00911111111111 0.0146666666667
