nsamples r_rnd r_ucb r_sve
8 0.0236666666667 0.0202222222222 0.0107777777778
10 0.0168888888889 0.0214444444444 0.0156666666667
12 0.0163333333333 0.0152222222222 0.00755555555556
14 0.0111111111111 0.0113333333333 0.00688888888889
16 0.00777777777778 0.012 0.00788888888889
18 0.00755555555556 0.00711111111111 0.00355555555556
20 0.00577777777778 0.00322222222222 0.00288888888889
22 0.00344444444444 0.00366666666667 0.00366666666667
24 0.00366666666667 0.003 0.00188888888889
26 0.00222222222222 0.00255555555556 0.00155555555556
28 0.00144444444444 0.00111111111111 0.000777777777778
30 0.00111111111111 0.002 0.000333333333333
