nsamples r_rnd r_ucb r_sve
8 0.0405 0.0453333333333 0.0214166666667
10 0.032 0.02475 0.01625
12 0.0261666666667 0.0108333333333 0.0151666666667
14 0.02075 0.0211666666667 0.01975
16 0.0156666666667 0.0208333333333 0.0114166666667
18 0.0154166666667 0.0075 0.00725
20 0.014 0.00658333333333 0.00666666666667
22 0.01275 0.0115 0.0104166666667
24 0.00741666666667 0.0105 0.00633333333333
26 0.00858333333333 0.00483333333333 0.00458333333333
28 0.00666666666667 0.00308333333333 0.00375
30 0.00608333333333 0.00733333333333 0.00275
