nsamples r_rnd r_ucb r_sve
8 0.0264444444444 0.0123333333333 0.0111111111111
10 0.0183333333333 0.0185555555556 0.0164444444444
12 0.0125555555556 0.0155555555556 0.00722222222222
14 0.00988888888889 0.00433333333333 0.00677777777778
16 0.0102222222222 0.00722222222222 0.00744444444444
18 0.00466666666667 0.00744444444444 0.00344444444444
20 0.00488888888889 0.00122222222222 0.00322222222222
22 0.00488888888889 0.00277777777778 0.00333333333333
24 0.00355555555556 0.00322222222222 0.00188888888889
26 0.00255555555556 0.000777777777778 0.00211111111111
28 0.00244444444444 0.00122222222222 0.00177777777778
30 0.00188888888889 0.00133333333333 0.000111111111111
