nsamples r_rnd r_ucb r_sve
16 0.172656384849 0.108643369152 0.0411914665883
32 0.137408766262 0.0625591602346 0.0260511403788
48 0.103379709442 0.0442874936089 0.0230489148171
64 0.084291668222 0.0339855144531 0.016617391606
80 0.0619626053843 0.0204896340058 0.0169431273866
96 0.0513414736952 0.0194711760921 0.0169485455789
112 0.0407799036384 0.0187711732674 0.0163039450487
128 0.0370910272491 0.0139486820781 0.0133187978415
144 0.0298136166726 0.0136646122954 0.0101760363827
160 0.0265560859337 0.0106756418251 0.0108292415
176 0.024744905376 0.0108221816965 0.0104831696319
192 0.0223010876677 0.00864899824108 0.0086639861205

