nsamples r_rnd r_ucb r_sve
6 0.157791666667 0.0695138888889 0.0633111111111
12 0.1167 0.0894 0.0347777777778
18 0.0974111111111 0.0739472222222 0.0440194444444
24 0.0831916666667 0.0384555555556 0.037425
30 0.0725888888889 0.0516222222222 0.0217722222222
36 0.0632444444444 0.0333694444444 0.0185111111111
42 0.0560138888889 0.030225 0.0139833333333
48 0.0498027777778 0.0310444444444 0.0201972222222
54 0.04575 0.0236472222222 0.0159361111111
60 0.0421277777778 0.02365 0.0121305555556
66 0.0382611111111 0.0207305555556 0.01
72 0.0360694444444 0.0193916666667 0.00832222222222
78 0.0332944444444 0.0188805555556 0.0222527777778
84 0.0312 0.0172222222222 0.0104888888889
90 0.0293611111111 0.0160333333333 0.00806944444444
