nsamples r_rnd r_ucb r_sve
2 0.0702083333333 0.06215 0.0624166666667
4 0.0569666666667 0.062125 0.0310833333333
6 0.0526416666667 0.0778 0.0318833333333
8 0.0442083333333 0.0455416666667 0.0193166666667
10 0.037025 0.031375 0.03455
12 0.02895 0.028125 0.015025
14 0.0254416666667 0.0340916666667 0.010825
16 0.0208916666667 0.0259833333333 0.00595
18 0.0183916666667 0.0156583333333 0.005375
20 0.0155833333333 0.0139583333333 0.0029
22 0.0131 0.0183166666667 0.0131833333333
24 0.0110333333333 0.012725 0.00434166666667
26 0.00964166666667 0.009025 0.00306666666667
28 0.00809166666667 0.00741666666667 0.00175
30 0.007225 0.00973333333333 0.00149166666667
