nsamples r_RND r_UCB r_UCBt r_GRD r_UVB r_UVB2
128 0.296460371677 0.192203597401 0.190081915022 0.195971333772 0.181902627715 0.188091045571
256 0.242494739925 0.153141727618 0.0699748242254 0.0883043641367 0.0875821202519 0.0788268841843
384 0.190079150583 0.104357930695 0.0549884091841 0.029087994059 0.0295989672954 0.0315494035371
512 0.167411395628 0.104476192789 0.0343411879689 0.0149376110742 0.0112763278112 0.0157229010695
640 0.115676997283 0.0749023801747 0.0274878050089 0.0115919712483 0.00588165947553 0.00512075392288
768 0.112665756747 0.0541937879293 0.0230060363159 0.00559765624009 0.0068197320296 0.005222040619
896 0.115459513659 0.0619119265227 0.0168913301735 0.00359593641107 0.00330388188404 0.00490276327994
1024 0.098105118729 0.0459900380604 0.0105078165688 0.00242680648428 0.00301682948908 0.00199466209992
1152 0.0806035799566 0.0278148184554 0.00749171617287 0.00314069553918 0.00164605307703 0.00304145125652
1280 0.091488230629 0.0303680908503 0.00936297302858 0.00361737432661 0.00237900693908 0.00429356729987
1408 0.0759215938414 0.0251424409734 0.00507323384586 0.00308964860565 0.00422410533786 0.00196603325879
1536 0.0574856478454 0.0287202928057 0.00331138327739 0.00320068697687 0.00211245964298 0.00285423204403
1664 0.0682280939244 0.0236593987579 0.00338294075082 0.00205134599477 0.00296065266623 0.00223654674574
1792 0.0476933554795 0.0178020080732 0.00276062657541 0.00203508225921 0.00296904036274 0.00139730117888
