nsamples r_RND r_UCB r_UCBt r_GRD r_UVB
64 0.177375629188 0.0931223188237 0.0757245228788 0.0304677770891 0.0214768730358
128 0.112324215715 0.0871944398665 0.0566623515325 0.0191440868905 0.0251606371913
192 0.1090129492 0.0666780605368 0.0546266633597 0.0307140532893 0.0302051952104
256 0.0987557037774 0.0651889609343 0.0343685667477 0.0135430720019 0.0239854586821
320 0.0922791577047 0.060451131115 0.0451842513398 0.0148240604178 0.0224911578489
384 0.084732991532 0.0558168885814 0.0290295438896 0.0123431212122 0.0239719894509
448 0.0739709788969 0.0446774753311 0.0290536685092 0.0152750890784 0.0105401553485
512 0.0727906135293 0.0453898378573 0.0202480650369 0.018046873473 0.0173962295801
576 0.0683590171735 0.0435014040084 0.0327557044551 0.0129276489858 0.0146067377494
640 0.0584053540602 0.032795061391 0.019529834137 0.0131261279439 0.0120685417648
704 0.0546522574408 0.0292900726752 0.0186442158612 0.0118550352674 0.0108191432121
768 0.0456180121176 0.0223375079228 0.0118681095987 0.0155221552963 0.0093484485188
832 0.0410115918031 0.0401358733029 0.0169106573677 0.0114325357049 0.0127856515807
896 0.0587432366676 0.0257518950843 0.0150868459727 0.0166682176011 0.0160896241746
960 0.0500428640249 0.0225356706269 0.00995834400862 0.0159076183817 0.0110620105403
1024 0.0435598619051 0.0184431817952 0.0125466866484 0.0150068880961 0.0120424761266
1088 0.0341352856684 0.0237938637011 0.0172523424055 0.0154163513534 0.0117684520251
1152 0.0346670301257 0.0176464382639 0.00746390417845 0.0128535962346 0.00563462144878
1216 0.0350369424301 0.0200254266929 0.010371687116 0.0191505466671 0.0123210617319
