nsamples r_rnd r_ucb r_sve
8 0.114501487717 0.0726445058484 0.0515863011949
16 0.0825765749756 0.0464713127814 0.0319537538552
24 0.0611498317113 0.0333801922668 0.024463839211
32 0.0497726383009 0.0263703616788 0.0206264001928
40 0.0407010826777 0.0211619171449 0.0171254013332
48 0.0314895715631 0.0182185109889 0.0155899455335
56 0.0274272781578 0.0163486095811 0.0131784052228
64 0.0251217522567 0.0136329481617 0.0127739968708
72 0.0220258361718 0.012281923852 0.0104687023866
80 0.0185966557241 0.0112698879264 0.0102735538101
88 0.0168914334456 0.0102917026446 0.00929580870215
96 0.0162580163525 0.00947263335102 0.0091282658508
104 0.0151228973574 0.00817892308465 0.00847036325735
112 0.0148807771168 0.00803971695882 0.00773731285935
120 0.0129606291635 0.00740185013438 0.0078587239171
128 0.0116882717933 0.00756331306076 0.00741622883267
136 0.0112745477728 0.00663640305381 0.00685914143599
144 0.0110385341674 0.00579953109153 0.0064064837816
152 0.0100386032475 0.00576505236944 0.00609073731357
