nsamples r_rnd r_ucb r_sve
16 0.179424958545 0.105558485969 0.0427085407842
32 0.138282911257 0.0652183966996 0.028142004526
48 0.100405315865 0.0409234015986 0.0207478841984
64 0.0802084800813 0.0312126420091 0.0164972220249
80 0.0628155757715 0.0242908255557 0.0147070762263
96 0.0494882575878 0.0201464807536 0.0141828265366
112 0.0413666172101 0.0171926813731 0.0102703208429
128 0.0362397683242 0.0139446113584 0.0102059028093
144 0.0288677789896 0.0121749023554 0.0104999174536
160 0.0262482672435 0.010695064681 0.00995066727786
176 0.0245609498045 0.00974496233144 0.00819606209675
192 0.022464477412 0.00880827609826 0.00824897875797
208 0.0189948973983 0.00755261028835 0.00832549571653
224 0.0174541387387 0.00746100414309 0.00753406692154
240 0.0158162265156 0.00689409278797 0.00653915661136
256 0.0162358615318 0.00655765288744 0.00689224392638
272 0.0141228881376 0.00590675053482 0.00626815520875
288 0.0132903465153 0.00502113352208 0.00606781716014
304 0.0123154789972 0.00507626861415 0.00610621938692
