nsamples r_rnd r_ucb r_sve
16 0.183222751061 0.104045763673 0.0437471754132
32 0.134599452594 0.06426708902 0.0276014848843
48 0.103180345626 0.0417652570911 0.0209228801805
64 0.0759488896953 0.0314792972769 0.0166110567268
80 0.0623430278715 0.0241256463424 0.0141493942771
96 0.0495912922072 0.0192149361752 0.0125205373489
112 0.041452673443 0.0167624352239 0.0113167026704
128 0.0349250826436 0.0143616683829 0.0102015533255
144 0.0316903203366 0.0128907585383 0.00977505678533
160 0.0274822883428 0.0113906427462 0.00850383141989
176 0.0248757727783 0.00927556589612 0.00831140044775
