nsamples r_rnd r_ucb r_sve
16 0.187013433249 0.103724422961 0.043176234875
32 0.133673788851 0.0655208687025 0.0226987961745
48 0.0982965624862 0.0425698088352 0.0158095447305
64 0.0805842581791 0.0308200539776 0.0132193071828
80 0.0607210228212 0.024387512981 0.00975778716901
96 0.050878260881 0.018880096029 0.00878269115463
112 0.0419637900756 0.0172128694313 0.00746232143428
128 0.0355634924978 0.0136852715618 0.00717046689136
144 0.0317359595753 0.0132764584981 0.00600759565172
160 0.0264158590131 0.0111125614579 0.00558574635476
176 0.0247137174056 0.00957765926613 0.00438402570831
192 0.0210521443311 0.00869436823806 0.00426599057958
208 0.0188979514837 0.007669136217 0.0041007712393
224 0.0176278994922 0.0073414225771 0.00380470261436
240 0.0169236562232 0.00675879120123 0.00362495850429
256 0.0150227171826 0.00603091209253 0.00369373513209
272 0.0144772613342 0.00574597881429 0.00335031876091
288 0.0130344451017 0.00538266179227 0.00286740783199
304 0.0133482596357 0.00518225200396 0.00306811468637
