nsamples r_rnd r_ucb r_sve
16 0.183071910326 0.103377362187 0.0382633186407
32 0.135434613482 0.0642666132787 0.0231426081658
48 0.104349361309 0.0439765753592 0.0172366659443
64 0.0752600190684 0.030910761802 0.0151886416941
80 0.0649060832275 0.0250775495972 0.0141415303446
96 0.0491527781407 0.0201721557172 0.013035291485
112 0.0416363007918 0.0179094841432 0.0110345627362
128 0.0349749593217 0.0144667873423 0.0100201197763
144 0.03068422868 0.0123204715596 0.0105142748957
160 0.0256891748907 0.01173277597 0.00906965540863
176 0.0238067479316 0.0101679348045 0.00863191636464
192 0.0210267480496 0.00868855506044 0.00794530921859
208 0.0198669880667 0.00791847501672 0.00759201427858
224 0.0178356711746 0.0071228509355 0.00665011949941
240 0.016319775618 0.00713749811032 0.00738058847638
256 0.0145452342034 0.00646248761041 0.00705322866613
272 0.0139465592817 0.00567234835639 0.00608324916462
288 0.0130409766864 0.00544093774572 0.00608653000159
304 0.0129618355505 0.00453506410963 0.00565379624286
