nsamples r_rnd r_ucb r_sve
8 0.0485666666667 0.0489333333333 0.0488666666667
10 0.0417333333333 0.0401333333333 0.0406
12 0.0373 0.0341666666667 0.0372666666667
14 0.0331666666667 0.0306 0.0294333333333
16 0.0262 0.0257666666667 0.0252666666667
18 0.0228 0.0209666666667 0.021
20 0.0196333333333 0.0191 0.0185333333333
22 0.0179 0.0149 0.0158666666667
24 0.0155 0.0142666666667 0.0137333333333
26 0.0120333333333 0.0124333333333 0.0114333333333
28 0.0111666666667 0.0093 0.0097
30 0.0100666666667 0.00933333333333 0.00916666666667
