nsamples r_rnd r_ucb r_sve
2 0.0677222222222 0.0384333333333 0.0366111111111
4 0.0593 0.0868888888889 0.0867666666667
6 0.0441444444444 0.0368333333333 0.0205666666667
8 0.0322222222222 0.0206888888889 0.0147444444444
10 0.0244888888889 0.0328 0.00766666666667
12 0.0185111111111 0.0162777777778 0.0228777777778
14 0.0156333333333 0.00915555555556 0.00443333333333
16 0.0103666666667 0.0145444444444 0.00233333333333
18 0.00778888888889 0.00762222222222 0.00214444444444
20 0.0059 0.00425555555556 0.00824444444444
22 0.00368888888889 0.00588888888889 0.0017
24 0.00372222222222 0.00336666666667 0.000911111111111
26 0.00212222222222 0.00201111111111 0.000322222222222
28 0.00151111111111 0.00162222222222 0.000222222222222
30 0.00123333333333 0.00143333333333 0.000566666666667
