nsamples r_rnd r_ucb r_sve
2 0.0713166666667 0.0624583333333 0.03235
4 0.0416916666667 0.015175 0.0160833333333
6 0.0345666666667 0.01585 0.0121166666667
8 0.029375 0.047075 0.00895833333333
10 0.0259666666667 0.026975 0.030225
12 0.0213833333333 0.00878333333333 0.01065
14 0.0173083333333 0.00838333333333 0.00848333333333
16 0.016 0.02225 0.00419166666667
18 0.0133333333333 0.00854166666667 0.003175
20 0.01085 0.0049 0.0017
22 0.009725 0.00456666666667 0.0123166666667
24 0.00785833333333 0.0112916666667 0.00390833333333
26 0.0067 0.004625 0.00258333333333
28 0.00623333333333 0.00283333333333 0.00168333333333
30 0.00565 0.00258333333333 0.00126666666667
