nsamples r_VCT r_UCT r_UVT r_RND
2 0.16175708 0.22751431 0.24385427 0.22180618
3 0.14595005 0.20484851 0.2334665 0.22963616
4 0.12305297 0.1704022 0.23544678 0.21436854
5 0.1088031 0.17612772 0.23319209 0.21430534
6 0.09444234 0.1772736 0.2355845 0.21146919
7 0.07922767 0.13912643 0.22538379 0.21394803
8 0.072404325 0.16024376 0.22938177 0.21468823
9 0.065502815 0.15038732 0.22044362 0.21873865
10 0.06284221 0.12503345 0.23283447 0.21048586
11 0.056522466 0.10898223 0.22039975 0.21304414
12 0.05370974 0.12989 0.22200105 0.20870303
