nsamples r_rnd r_ucb r_sve
24 0.0765833333333 0.0315833333333 0.0309444444444
30 0.0630833333333 0.0424166666667 0.0186666666667
36 0.05475 0.0273888888889 0.0138333333333
42 0.0465833333333 0.0259166666667 0.0109722222222
48 0.0434166666667 0.0253055555556 0.00705555555556
54 0.0395833333333 0.0199722222222 0.0166666666667
60 0.0370833333333 0.0210833333333 0.0128333333333
66 0.0333611111111 0.0199444444444 0.00769444444444
72 0.0306111111111 0.017 0.00580555555556
78 0.0294722222222 0.0157222222222 0.00525
84 0.0264166666667 0.0168611111111 0.00827777777778
90 0.0254166666667 0.0144166666667 0.00905555555556
