nsamples r_rnd r_ucb r_sve
8 0.0385833333333 0.0478333333333 0.0159166666667
10 0.0296666666667 0.0289166666667 0.00933333333333
12 0.0255 0.02775 0.0299166666667
14 0.02225 0.02375 0.0165833333333
16 0.0200833333333 0.02275 0.009
18 0.0143333333333 0.0165 0.00591666666667
20 0.0146666666667 0.0141666666667 0.00383333333333
22 0.0115833333333 0.0121666666667 0.00241666666667
24 0.01 0.0115833333333 0.00183333333333
26 0.00925 0.00825 0.00116666666667
28 0.00658333333333 0.008 0.0129166666667
30 0.00666666666667 0.00858333333333 0.00541666666667
