nsamples r_rnd r_ucb r_sve
8 0.0491111111111 0.0501111111111 0.0473333333333
10 0.0432222222222 0.0407777777778 0.0417777777778
12 0.0373333333333 0.0346666666667 0.0366666666667
14 0.0328888888889 0.0303333333333 0.0295555555556
16 0.0281111111111 0.0256666666667 0.0293333333333
18 0.0204444444444 0.0237777777778 0.0236666666667
20 0.0196666666667 0.0168888888889 0.0188888888889
22 0.0168888888889 0.015 0.0142222222222
24 0.0158888888889 0.0161111111111 0.014
26 0.0132222222222 0.0143333333333 0.0134444444444
28 0.0116666666667 0.00944444444444 0.0114444444444
30 0.00988888888889 0.00844444444444 0.00966666666667
