nsamples r_rnd r_ucb r_sve
8 0.0235555555556 0.0208888888889 0.00955555555556
10 0.0206666666667 0.0206666666667 0.00744444444444
12 0.0144444444444 0.0162222222222 0.00266666666667
14 0.0108888888889 0.00833333333333 0.0204444444444
16 0.00744444444444 0.0106666666667 0.00355555555556
18 0.00666666666667 0.00722222222222 0.00144444444444
20 0.00544444444444 0.00366666666667 0.00111111111111
22 0.00411111111111 0.00477777777778 0.000444444444444
24 0.00255555555556 0.00355555555556 0.00233333333333
26 0.00222222222222 0.00222222222222 0.000111111111111
28 0.00255555555556 0.00177777777778 0.000333333333333
30 0.000777777777778 0.00155555555556 0.000222222222222
