nsamples r_rnd r_ucb r_sve
8 0.0356666666667 0.04875 0.0114166666667
10 0.02825 0.02775 0.00725
12 0.02525 0.01375 0.03025
14 0.0213333333333 0.02225 0.016
16 0.0171666666667 0.0241666666667 0.00808333333333
18 0.0150833333333 0.00883333333333 0.006
20 0.0133333333333 0.00658333333333 0.004
22 0.0101666666667 0.0118333333333 0.00225
24 0.00891666666667 0.0119166666667 0.00233333333333
26 0.00808333333333 0.00316666666667 0.00116666666667
28 0.00608333333333 0.003 0.0125
30 0.00566666666667 0.00666666666667 0.00675
