nsamples r_rnd r_ucb r_sve
8 0.0244444444444 0.0106666666667 0.0124444444444
10 0.0216666666667 0.0183333333333 0.00566666666667
12 0.0125555555556 0.0156666666667 0.00366666666667
14 0.0102222222222 0.00544444444444 0.00177777777778
16 0.009 0.00855555555556 0.00377777777778
18 0.00711111111111 0.00566666666667 0.00244444444444
20 0.00566666666667 0.000888888888889 0.00166666666667
22 0.00522222222222 0.003 0.000333333333333
24 0.003 0.00344444444444 0.00233333333333
26 0.00244444444444 0.00122222222222 0.000666666666667
28 0.00277777777778 0.000777777777778 0.000444444444444
30 0.00211111111111 0.000888888888889 0.000111111111111
