nsamples r_rnd r_ucb r_sve
2 0.0494555555556 0.0363222222222 0.0120777777778
4 0.0312222222222 0.0120333333333 0.0123777777778
6 0.0237666666667 0.0364 0.0116444444444
8 0.0185444444444 0.006 0.0061
10 0.0137111111111 0.00572222222222 0.00703333333333
12 0.0112777777778 0.0154888888889 0.00214444444444
14 0.0083 0.00296666666667 0.00313333333333
16 0.00654444444444 0.00273333333333 0.00268888888889
18 0.00524444444444 0.00616666666667 0.00118888888889
20 0.00443333333333 0.00141111111111 0.000533333333333
22 0.00383333333333 0.00114444444444 0.00122222222222
24 0.00293333333333 0.00306666666667 0.000733333333333
26 0.00285555555556 0.0006 0.000388888888889
28 0.00222222222222 0.00141111111111 0.00358888888889
30 0.00188888888889 0.00143333333333 0.000533333333333
