nsamples r_rnd r_ucb r_sve
24 0.0733888888889 0.032 0.0352222222222
30 0.0601666666667 0.0435833333333 0.0198333333333
36 0.0537222222222 0.0288333333333 0.0155
42 0.0508888888889 0.0264722222222 0.0129166666667
48 0.0434166666667 0.0264444444444 0.0205833333333
54 0.04075 0.0204444444444 0.0141666666667
60 0.0355 0.0214722222222 0.011
66 0.0354722222222 0.0176944444444 0.00980555555556
72 0.0287777777778 0.0180833333333 0.00794444444444
78 0.0282777777778 0.01575 0.0145833333333
84 0.0276388888889 0.0146388888889 0.00955555555556
90 0.0273888888889 0.0138055555556 0.00747222222222
