nsamples r_rnd r_ucb r_sve
8 0.0373333333333 0.0445 0.0153333333333
10 0.0289166666667 0.03525 0.0331666666667
12 0.0244166666667 0.0269166666667 0.013
14 0.0223333333333 0.0241666666667 0.0108333333333
16 0.0170833333333 0.0238333333333 0.00516666666667
18 0.0164166666667 0.0166666666667 0.00325
20 0.0115833333333 0.01325 0.00341666666667
22 0.0108333333333 0.0134166666667 0.0118333333333
24 0.00916666666667 0.0113333333333 0.00433333333333
26 0.00916666666667 0.0075 0.00375
28 0.00783333333333 0.00733333333333 0.00158333333333
30 0.00583333333333 0.00666666666667 0.00075
