nsamples r_rnd r_ucb r_sve
8 0.053 0.0511111111111 0.0493333333333
10 0.0426666666667 0.041 0.0414444444444
12 0.0361111111111 0.0338888888889 0.0352222222222
14 0.0317777777778 0.0294444444444 0.029
16 0.024 0.0261111111111 0.0251111111111
18 0.0215555555556 0.0217777777778 0.0216666666667
20 0.0207777777778 0.0187777777778 0.0175555555556
22 0.0175555555556 0.0148888888889 0.0158888888889
24 0.0142222222222 0.0133333333333 0.0133333333333
26 0.0127777777778 0.0111111111111 0.0113333333333
28 0.0118888888889 0.0105555555556 0.0106666666667
30 0.00955555555556 0.00733333333333 0.0105555555556
