nsamples r_rnd r_ucb r_sve
8 0.025 0.0211111111111 0.0101111111111
10 0.0195555555556 0.0256666666667 0.00888888888889
12 0.0148888888889 0.0177777777778 0.0128888888889
14 0.0107777777778 0.00977777777778 0.00366666666667
16 0.00788888888889 0.0114444444444 0.00211111111111
18 0.007 0.00544444444444 0.00133333333333
20 0.00522222222222 0.00366666666667 0.00466666666667
22 0.00277777777778 0.00444444444444 0.00122222222222
24 0.00311111111111 0.00444444444444 0.000888888888889
26 0.00233333333333 0.00166666666667 0.000555555555556
28 0.00144444444444 0.00122222222222 0.000111111111111
30 0.00133333333333 0.00177777777778 0.000444444444444
