nsamples r_rnd r_ucb r_sve
8 0.03925 0.0484166666667 0.0125
10 0.0325 0.0290833333333 0.0328333333333
12 0.0269166666667 0.0105833333333 0.0126666666667
14 0.02175 0.0225 0.00891666666667
16 0.0166666666667 0.02275 0.00333333333333
18 0.01575 0.00916666666667 0.00508333333333
20 0.01275 0.00591666666667 0.00266666666667
22 0.0111666666667 0.0105 0.0114166666667
24 0.0113333333333 0.0115 0.00391666666667
26 0.0085 0.00475 0.00366666666667
28 0.00741666666667 0.00458333333333 0.00225
30 0.00458333333333 0.006 0.001
