nsamples r_rnd r_ucb r_sve
8 0.0238888888889 0.00877777777778 0.0107777777778
10 0.0193333333333 0.0187777777778 0.007
12 0.0131111111111 0.0147777777778 0.0122222222222
14 0.00822222222222 0.00422222222222 0.00411111111111
16 0.00755555555556 0.00555555555556 0.00355555555556
18 0.00555555555556 0.00622222222222 0.00166666666667
20 0.00555555555556 0.00233333333333 0.00411111111111
22 0.00488888888889 0.00377777777778 0.00111111111111
24 0.00311111111111 0.00322222222222 0.00111111111111
26 0.00355555555556 0.00111111111111 0.000666666666667
28 0.00277777777778 0.00111111111111 0.00244444444444
30 0.00177777777778 0.001 0.000555555555556
