nsamples r_UCT r_GCT r_TCT r_HCT r_ECT r_BCT
32  0.19145  0.21882 .1875358 .1873083 .1892508 .1920567
64 .1492692 .1653983 .1042242 .1040317 .1072633 .1042767
96 .1106175 .1088267 .0528792 .0524358 .0527567 .0526633
160 .0702625 .0475767 .0171908 .0163975 .0166075 .0155692
256 0.038115 .0159192 .0056642 .0048883  0.00525 .0047017
384 .0188358 .0056175 .0029167 .0022633 .0022167 .0022458
544 .0085167  0.00266  0.00203 .0013708  0.00133 .0013883

800 .0035058 .0014467 .0014292 .0006008 0.000665 .0006767
1152 .0013883 .0008167 .0009392 .0003267 .0002158  0.00035
1632 .0004667 .0005192 .0005483 .0001517 .0000292 .0001225
