nsamples r_UCB r_GRD r_UVB
128 0.185917351533 0.101694095424 0.0244386785086
256 0.141151853728 0.0217226240221 0.0048920527698
384 0.106803035828 0.00806781942719 0.00308466984108
512 0.0805958547645 0.00445199940328 0.00277824191645
640 0.0636662977132 0.00311838394454 0.00236847564384
768 0.0509392679814 0.00270471664088 0.00228055387106
896 0.0391993801016 0.00264663896473 0.00234162730724
1024 0.0326439644914 0.00238014536945 0.00219608947161
1152 0.0274186641877 0.0021240320051 0.00221889905221
1280 0.0211738301717 0.00211743189912 0.00215504777955
1408 0.0180906160516 0.00194567787268 0.00233716276986
1536 0.0159229813144 0.00198596644186 0.00213609528478
1664 0.0131158727549 0.00215979721328 0.00221685341451
1792 0.0117760771654 0.00188588038108 0.00215641615129
1920 0.0106632795527 0.00186987615416 0.00206447406083
2048 0.00937241996182 0.00195413050282 0.00233668070275
2176 0.00810857444741 0.00191928310097 0.00224330745612
2304 0.00701126772766 0.0018782573398 0.00222022950786
2432 0.00688079762059 0.00179050613967 0.00222410253285
2560 0.00593806464517 0.00184696069853 0.00203209970787
2688 0.00550298055665 0.00186101304256 0.00209690673908
2816 0.00488287723991 0.00166892474003 0.00214965745234
2944 0.00456150633966 0.00177519128364 0.00210298289372
3072 0.00415243190592 0.00156412912056 0.0021313815477
