nsamples r_UCB r_GRD r_UVB
64 0.256440407154 0.128981162011 0.0225905160603
128 0.204256971603 0.021464240488 0.0101484786376
192 0.122024871961 0.0104932044999 0.00862767849504
256 0.0773687745841 0.00860770785429 0.00824050629274
320 0.0517849302838 0.00783129459731 0.00788429178019
384 0.0368048210248 0.00715008295149 0.00752831305405
448 0.0297284678074 0.00672104241193 0.00766724179938
512 0.0239143634763 0.00636155438017 0.00745643752197
576 0.0193714022483 0.00595844023736 0.00742885682181
640 0.0163349655864 0.00553684626761 0.00646725811254
704 0.0135636424672 0.00488152759065 0.00685450412596
768 0.0121002121745 0.00502148861922 0.00651796212663
832 0.0110974270781 0.00490458749315 0.00650621683717
896 0.00945367368587 0.00460411015435 0.00653902962174
960 0.00863805633604 0.00483488985358 0.00577947991382
1024 0.00766731824821 0.0045778159127 0.00580781588057
1088 0.00706071690609 0.00431354001944 0.00567698407994
1152 0.00619086447365 0.00401021261274 0.00568096329576
1216 0.00584134804121 0.00404501258863 0.00545190514823
1280 0.00548618037596 0.0035391001002 0.00552461411088
1344 0.00509964575215 0.00384230227258 0.00484719124934
1408 0.00452216529069 0.00360626876596 0.00492013263151
1472 0.00433694630482 0.0037365505737 0.00535993997372
1536 0.00424182330406 0.00332861461907 0.0046145682032
1600 0.00380313920509 0.00328054430152 0.00441600990774
1664 0.00356316087212 0.0031722196173 0.0045874544951
1728 0.00343541732897 0.00311542815706 0.00526808278146
1792 0.0034227372182 0.00302203452755 0.00426291594911
1856 0.00280018364313 0.00313962511033 0.00434591556336
1920 0.00286835597495 0.00300012957383 0.00392669301966
1984 0.00283736534261 0.00284766662738 0.00399126207592
