nsamples r_UCB r_GRD r_UVB
8 0.0420650830208 0.0370795087159 0.0309961640325
16 0.0393353013134 0.0327095666452 0.0299236123828
24 0.036264337469 0.0299467547644 0.0255766660107
32 0.0334765880262 0.0274955098572 0.0226357764268
40 0.0322365655447 0.0256473448868 0.0211694757901
48 0.0301819590777 0.0238864669484 0.0200718517595
56 0.028436010718 0.0224622905638 0.0192798723285
64 0.0282469071348 0.0217785351231 0.0181250615503
72 0.0270545747869 0.0212125359561 0.0176954777266
80 0.0256515061123 0.0198329125959 0.0177237501093
88 0.0252473260218 0.0187746685421 0.0162365977423
96 0.0240613789363 0.0186644658632 0.0163093538302
104 0.0231900738878 0.0179938724437 0.0153654301132
112 0.0224096717054 0.0174419264523 0.0148091242386
120 0.0225534636993 0.0169686235003 0.0143340923344
128 0.0213809228646 0.016390870695 0.0148167515237
136 0.0207870836984 0.0157858892253 0.0141915337505
144 0.0203999520051 0.0153959436567 0.0133379012959
152 0.0198820285001 0.0153956166025 0.0138132854251
160 0.0192895372561 0.0151932898731 0.0130321014687
168 0.0189776440708 0.0142359122114 0.0124999383481
176 0.0185256156584 0.0142458191675 0.0126734702903
184 0.0180336820502 0.0137458857617 0.0127355340916
192 0.0178275364667 0.0139043724036 0.011953348257
200 0.0177426610694 0.0128944716689 0.0118756474652
208 0.0173816216109 0.0131845121108 0.0120945505501
216 0.0165483161647 0.0127386888897 0.011379166119
224 0.0164577551679 0.0124677551184 0.0115180675533
232 0.0158034489767 0.0126153472488 0.0115865254917
240 0.0157757289037 0.0120969199123 0.0112500584949
248 0.0154960796979 0.011910059334 0.0106256007445
