 FACTOR  RND     RCT     UCT     GCT     QCT
 0.001   12.49    11.4   11.99   11.45   11.47
 .0032    12.6   11.61   12.15   11.52   11.53
  0.01   12.58   11.51    12.0   11.51   11.56
 .0316   12.58   11.47   12.18    11.5    11.4
   0.1   12.53   11.53   12.05   11.58   11.49
 .3162   12.49   11.56   12.02    11.5   11.51
   1.0   12.56   11.55   11.85   11.48   11.49
 3.162   12.57   11.57   11.69   11.55   11.56
  10.0   12.59   11.63   11.49   11.52   11.51
 31.62   12.55   11.78   11.58   11.63   11.61
