nsamples r_GCT r_UCT r_GRT r_Random
4 0.16640854 0.26918763 0.2720821 0.22666329
5 0.14465576 0.26095614 0.25723737 0.23480617
6 0.13485263 0.19019833 0.2611746 0.23585445
8 0.104262255 0.210897 0.25031212 0.23254481
10 0.07552007 0.20306347 0.26310325 0.22532533
13 0.05790548 0.12652639 0.25241163 0.22807163
17 0.04356176 0.1445038 0.24614598 0.23402447
22 0.037595164 0.10345526 0.25318894 0.21702969
29 0.022782197 0.07985821 0.24122307 0.23410691
38 0.020178685 0.057657696 0.23462564 0.23548852
49 0.014850451 0.034030933 0.25004926 0.22594249
64 0.016303333 0.02134965 0.22824004 0.23217161
