nsamples r_vct r_uct r_uvt r_random
4 0.1232438 0.21897295 0.23207137 0.21027349
6 0.120367676 0.14659023 0.22002558 0.1919728
8 0.08972144 0.14779453 0.22421712 0.20490067
10 0.07359046 0.13973509 0.2177151 0.2047744
12 0.07322933 0.11995746 0.2180122 0.19690254
14 0.049967792 0.1133794 0.20789185 0.19690113
16 0.04668901 0.09348465 0.20542084 0.20353432
18 0.043985024 0.095694736 0.20480776 0.1933507
20 0.051623408 0.07644474 0.20636041 0.19435537
22 0.034812383 0.078149855 0.20693071 0.20299982
24 0.03956474 0.0848431 0.20020962 0.20290509
